180013,171.0,4.0
180012,318.0,3.0
180015,288.0,3.0
261102,466.0,2.0
261101,326.0,3.0
180018,144.0,4.0
040190,100.0,4.0
510290,3.0,5.0
510050,317.0,2.0
180010,107.0,4.0
270050,199.0,4.0
340009,259.0,3.0
420005,183.0,4.0
340007,339.0,3.0
420003,381.0,3.0
420002,371.0,2.0
340008,141.0,4.0
420009,656.0,2.0
420008,304.0,3.0
340001,235.0,4.0
398001,251.0,4.0
340006,217.0,4.0
180026,463.0,2.0
180025,301.0,3.0
270049,320.0,3.0
270048,430.0,2.0
180029,116.0,4.0
270045,438.0,2.0
270044,468.0,2.0
270043,37.0,5.0
519097,146.0,4.0
180020,346.0,3.0
270042,169.0,3.0
270041,25.0,5.0
519099,94.0,4.0
510280,347.0,2.0
519093,5.0,5.0
519095,185.0,4.0
519091,93.0,4.0
377530,75.0,5.0
673010,478.0,3.0
398011,599.0,2.0
163907,237.0,3.0
257060,199.0,3.0
513100,265.0,3.0
162605,229.0,3.0
510070,127.0,4.0
270030,225.0,3.0
121012,237.0,3.0
121013,272.0,3.0
162607,170.0,3.0
160415,223.0,3.0
180001,485.0,3.0
161506,133.0,4.0
160417,114.0,4.0
270029,172.0,4.0
161505,313.0,2.0
257070,273.0,4.0
180003,134.0,4.0
160416,188.0,3.0
270028,266.0,4.0
270027,57.0,4.0
270026,44.0,4.0
040180,295.0,2.0
270025,164.0,4.0
270023,66.0,4.0
270022,819.0,1.0
270021,208.0,4.0
510060,260.0,3.0
121005,751.0,2.0
121006,729.0,2.0
121001,843.0,1.0
121003,631.0,2.0
121002,849.0,1.0
410001,822.0,1.0
121009,233.0,3.0
121008,83.0,5.0
161507,369.0,2.0
160602,328.0,3.0
160603,136.0,4.0
090012,186.0,3.0
090013,780.0,2.0
090010,63.0,4.0
510090,75.0,4.0
090011,851.0,1.0
090016,213.0,4.0
090017,214.0,3.0
090015,234.0,4.0
090018,214.0,4.0
160605,617.0,2.0
160608,268.0,3.0
160607,53.0,4.0
398041,432.0,3.0
518800,250.0,3.0
090001,190.0,4.0
090002,462.0,2.0
510081,179.0,4.0
510080,412.0,1.0
090006,677.0,2.0
090003,428.0,3.0
090004,529.0,3.0
090009,730.0,2.0
090007,33.0,5.0
090008,194.0,3.0
398051,777.0,2.0
161713,269.0,3.0
161715,410.0,1.0
217203,422.0,2.0
161714,315.0,2.0
160620,193.0,3.0
160622,227.0,3.0
160621,345.0,2.0
740101,124.0,4.0
398021,789.0,2.0
161716,325.0,2.0
161718,263.0,3.0
160613,43.0,5.0
160612,474.0,2.0
160615,354.0,2.0
090020,535.0,3.0
160611,349.0,2.0
160610,390.0,1.0
420001,615.0,2.0
051011,96.0,4.0
398031,36.0,5.0
519908,92.0,4.0
160617,241.0,3.0
161706,357.0,2.0
160616,12.0,5.0
160618,234.0,3.0
240003,167.0,4.0
240002,590.0,3.0
240005,488.0,3.0
164606,159.0,3.0
240004,244.0,4.0
510210,49.0,4.0
519027,257.0,3.0
240001,152.0,4.0
519029,129.0,4.0
519024,204.0,3.0
519023,338.0,3.0
519026,505.0,3.0
519025,219.0,4.0
519020,768.0,2.0
240009,168.0,4.0
240008,466.0,3.0
519021,852.0,1.0
240014,200.0,3.0
240013,280.0,3.0
240016,120.0,4.0
163503,118.0,4.0
519017,345.0,3.0
240010,391.0,3.0
510440,6.0,5.0
240012,156.0,4.0
519019,640.0,2.0
240011,443.0,3.0
519018,854.0,1.0
519013,716.0,2.0
486002,78.0,4.0
519015,759.0,2.0
162411,395.0,1.0
240018,437.0,2.0
240017,145.0,4.0
519011,618.0,2.0
240019,415.0,1.0
000113,91.0,4.0
161119,385.0,2.0
162208,761.0,2.0
000112,111.0,4.0
162207,30.0,5.0
161118,222.0,3.0
000111,90.0,4.0
510230,168.0,3.0
217005,470.0,3.0
162209,699.0,2.0
161115,414.0,1.0
217002,153.0,4.0
162204,609.0,2.0
000117,813.0,1.0
000116,81.0,4.0
217003,351.0,3.0
162203,814.0,1.0
000115,99.0,4.0
161117,327.0,2.0
166802,122.0,4.0
217001,85.0,5.0
166801,156.0,4.0
161116,289.0,3.0
162205,753.0,2.0
000119,184.0,3.0
378006,224.0,3.0
162202,713.0,2.0
000118,265.0,3.0
162201,479.0,3.0
378010,544.0,3.0
486001,164.0,3.0
